,Average and Extremes,Average temperature,Average humidity,Average dewpoint,Average barometer,Average windspeed,Average gustspeed,Average direction,Rainfall for month,Rainfall for year,Maximum rain per minute,Maximum temperature,Minimum temperature,Maximum humidity,Minimum humidity,Maximum pressure,Minimum pressure,Maximum windspeed,Maximum gust speed,Maximum heat index
0,Aug 1 ,63.5,69.0,51.3,29.7,4.4,7.0, 266° ( W ), 0.45 in., 15.72 in., 0.02 in. on day 01 at time 15:46, 80.8°F on day 01 at time 14:15, 55.1°F on day 01 at time 23:06, 93% on day 01 at time 22:58, 32% on day 01 at time 14:20, 29.815 in. on day 01 at time 18:03, 29.667 in. on day 01 at time 14:40, 17.3 mph on day 01 at time 15:49, 24.2 mph  from 038 °( NE) on day 01 at time 04:14, 79.9°F on day 01 at time 14:14
1,Aug 2 ,63.6,68.0,52.2,29.8,3.2,5.3, 294° (WNW), 0.69 in., 15.96 in., 0.01 in. on day 02 at time 19:43, 74.1°F on day 02 at time 13:26, 56.0°F on day 02 at time 00:25, 91% on day 02 at time 14:28, 44% on day 02 at time 13:20, 29.826 in. on day 02 at time 14:09, 29.711 in. on day 02 at time 18:18, 17.3 mph on day 02 at time 13:57, 25.3 mph  from 348 °(NNW) on day 02 at time 13:56, 77.4°F on day 02 at time 13:26
2,Aug 3 ,61.2,72.0,50.4,29.7,3.5,5.8, 300° (WNW), 0.86 in., 16.13 in., 0.01 in. on day 03 at time 18:01, 76.4°F on day 03 at time 15:06, 49.0°F on day 03 at time 23:26, 97% on day 03 at time 08:29, 32% on day 03 at time 15:01, 29.799 in. on day 03 at time 01:40, 29.659 in. on day 03 at time 16:17, 13.8 mph on day 03 at time 16:32, 24.2 mph  from 164 °(SSE) on day 03 at time 16:30, 78.1°F on day 03 at time 15:07
3,Aug 4 ,61.2,60.0,44.5,29.8,3.3,5.5, 275° ( W ), 0.89 in., 16.16 in., 0.01 in. on day 04 at time 08:45, 77.2°F on day 04 at time 17:04, 45.6°F on day 04 at time 06:26, 96% on day 04 at time 06:58, 27% on day 04 at time 18:21, 29.812 in. on day 04 at time 23:31, 29.699 in. on day 04 at time 15:02, 18.4 mph on day 04 at time 17:24, 32.2 mph  from 270 °( W ) on day 04 at time 17:21, 77.8°F on day 04 at time 16:50
4,Aug 5 ,58.9,61.0,43.1,29.8,4.1,6.4, 273° ( W ), 0.89 in., 16.16 in., 0.00 in. on day 05 at time 23:59, 78.7°F on day 05 at time 16:26, 41.4°F on day 05 at time 06:16, 92% on day 05 at time 23:59, 24% on day 05 at time 15:40, 29.942 in. on day 05 at time 23:20, 29.762 in. on day 05 at time 16:14, 21.9 mph on day 05 at time 18:47, 33.4 mph  from 251 °(WSW) on day 05 at time 18:52, 78.3°F on day 05 at time 16:26
5,Aug 6 ,52.0,92.0,49.7,29.9,2.1,3.6, 65° (ENE), 0.90 in., 16.17 in., 0.01 in. on day 06 at time 19:36, 57.0°F on day 06 at time 12:33, 45.5°F on day 06 at time 23:59, 96% on day 06 at time 23:59, 80% on day 06 at time 12:24, 29.987 in. on day 06 at time 19:34, 29.846 in. on day 06 at time 05:02, 9.2 mph on day 06 at time 19:08, 13.8 mph  from 194 °(SSW) on day 06 at time 16:59, 57.0°F on day 06 at time 12:33
6,Aug 7 ,54.6,71.0,43.6,29.9,3.6,6.2, 292° (WNW), 0.90 in., 16.17 in., 0.00 in. on day 07 at time 23:59, 74.5°F on day 07 at time 15:48, 39.0°F on day 07 at time 05:57, 98% on day 07 at time 07:36, 33% on day 07 at time 15:46, 29.983 in. on day 07 at time 06:49, 29.813 in. on day 07 at time 18:28, 20.7 mph on day 07 at time 12:43, 39.1 mph  from 294 °(WNW) on day 07 at time 12:42, 77.4°F on day 07 at time 15:01
7,Aug 8 ,56.4,68.0,44.2,29.8,2.1,3.6, 63° (ENE), 0.90 in., 16.17 in., 0.00 in. on day 08 at time 23:59, 73.3°F on day 08 at time 13:47, 39.9°F on day 08 at time 06:29, 96% on day 08 at time 06:55, 29% on day 08 at time 13:59, 29.872 in. on day 08 at time 01:11, 29.666 in. on day 08 at time 19:28, 12.7 mph on day 08 at time 14:22, 18.4 mph  from 03 °( N ) on day 08 at time 14:25, 77.5°F on day 08 at time 12:00
8,Aug 9 ,58.5,62.0,43.8,29.7,2.9,5.1, 268° ( W ), 0.90 in., 16.17 in., 0.00 in. on day 09 at time 23:59, 72.3°F on day 09 at time 13:25, 42.5°F on day 09 at time 06:27, 93% on day 09 at time 06:00, 31% on day 09 at time 13:15, 29.749 in. on day 09 at time 00:00, 29.645 in. on day 09 at time 17:21, 15.0 mph on day 09 at time 13:37, 20.7 mph  from 258 °(WSW) on day 09 at time 13:37, 77.5°F on day 09 at time 14:52
9,Aug 10 ,60.5,56.0,41.4,29.7,3.9,6.4, 272° ( W ), 0.90 in., 16.17 in., 0.00 in. on day 10 at time 23:59, 79.4°F on day 10 at time 14:14, 44.1°F on day 10 at time 07:31, 93% on day 10 at time 08:20, 22% on day 10 at time 15:20, 29.711 in. on day 10 at time 08:08, 29.625 in. on day 10 at time 15:07, 21.9 mph on day 10 at time 15:36, 31.1 mph  from 237 °(WSW) on day 10 at time 15:33, 78.5°F on day 10 at time 14:13
